Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
654080,On the Geneology of Morals,Friedrich Nietzsche,"Nietzsche, Friedrich",,"=""""","=""""",4,4.13,Collection of Essays,,,2007,1887,,2021/10/30,,,read,,,,1,,,0,,,,,
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",5,4.36,Harper Business,Hardcover,274,2016,2016,,2021/06/30,,,read,,,,1,,,0,,,,,
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",3,3.96,Saga Press,Kindle Edition,209,2019,2019,,2021/06/30,,,read,,,,1,,,0,,,,,
23461180,Forests: A Very Short Introduction,Jaboury Ghazoul,"Ghazoul, Jaboury",,"=""0198706170""","=""9780198706175""",3,3.80,Oxford University Press,Paperback,144,2015,2015,,2021/06/30,,,read,,,,1,,,0,,,,,
22246108,Heroes: Mass Murder and Suicide,"Franco ""Bifo"" Berardi","Berardi, Franco ""Bifo""",,"=""1781685770""","=""9781781685778""",2,3.91,Verso,Hardcover,224,2015,2015,,2021/06/18,,,read,,,,1,,,0,,,,,
17344438,Reason and Violence: A Decade of Sartre's Philosophy 1950-1960,David Graham Cooper,"Cooper, David Graham",,"=""""","=""""",3,3.00,"Tavistock, 1964 (with R.D. Laing)",,195,,1964,,2021/06/18,,,read,,,,1,,,0,,,,,
11991,The Fall,Albert Camus,"Camus, Albert","Justin O'Brien, يارا شعاع","=""0679720227""","=""9780679720225""",4,4.01,Vintage,Paperback,147,1991,1956,,2021/06/18,,,read,,,,1,,,0,,,,,
10552338,Reamde,Neal Stephenson,"Stephenson, Neal",,"=""0061977969""","=""9780061977961""",3,3.98,William Morrow,Hardcover,1044,2011,2011,2021/06/18,2021/03/30,,,read,,,,1,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.24,Ace Books,Hardcover,688,2019,1965,,2020/07/24,"philosophical, socioscifi","philosophical (#4), socioscifi (#4)",read,:),,,1,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",3,4.27,Harper Perennial Modern Classics ,Paperback,336,2006,1960,,2021/04/08,,,read,,,,1,,,0,,,,,
